DaqName,CFS.Accelerator.Pedal.Position,CFS.Brake.Pedal.Force,CFS.Steering.Wheel.Angle,SCC.Lane.Deviation.2,SCC.LogStreams.2,SCC.LogStreams.5,SCC.MenuSearch,VDS.Veh.Heading,VDS.Veh.Speed,VDS.Veh.Heading.Fixed,DosingLevel
20140222092641.mat,0.204539179801941,-0.050693716853857006,-0.395504981279373,-0.676113128662109,203,22,16,179.94483947753898,69.8882675170898,269.94482421875,ZP
20140222092641.mat,0.204398930072784,-0.0222185011953115,-0.395504981279373,-0.6767596602439879,203,22,16,179.946670532227,69.8728713989258,269.946655273438,ZP
20140222092641.mat,0.20424495637416798,0.0252400394529104,-0.395504981279373,-0.675461292266846,203,22,16,179.94871520996102,69.8574752807617,269.94873046875,ZP
20140222092641.mat,0.204280331730843,-0.00323517760261893,-0.395504981279373,-0.674164175987244,203,22,16,179.950973510742,69.84210205078121,269.95098876953097,ZP
20140222092641.mat,0.204162895679474,-0.10764414817094801,-0.395504981279373,-0.672862887382507,203,22,16,179.95362854003898,69.8267364501953,269.95361328125,ZP
20140222092641.mat,0.204195812344551,-0.0317103937268257,-0.43944996595382707,-0.671553194522858,203,22,16,179.957138061523,69.8113861083984,269.957153320312,ZP
20140222092641.mat,0.204265773296356,-0.0317103937268257,-0.43944996595382707,-0.670232594013214,203,22,16,179.961868286133,69.79604339599611,269.96185302734403,ZP
20140222092641.mat,0.20417486131191298,-0.00323517760261893,-0.43944996595382707,-0.66890025138855,203,22,16,179.964950561523,69.7807083129883,269.964965820312,ZP
20140222092641.mat,0.204243257641792,-0.0127268396317959,-0.43944996595382707,-0.667561709880829,203,22,16,179.96740722656202,69.7653884887695,269.967407226562,ZP
20140222092641.mat,0.204328119754791,0.0062564839608967296,-0.43944996595382707,-0.6662187576293951,203,22,16,179.971054077148,69.7500762939453,269.971069335938,ZP
20140222092641.mat,0.204357385635376,-0.0222185011953115,-0.48339498043060297,-0.664869785308838,203,22,16,179.975891113281,69.73476409912111,269.97589111328097,ZP
20140222092641.mat,0.204476192593575,-0.00323517760261893,-0.527339935302734,-0.6635127663612371,203,22,16,179.981018066406,69.7194747924805,269.98101806640597,ZP
20140222092641.mat,0.20431743562221502,-0.0412020571529865,-0.5712849497795099,-0.6621459126472471,203,22,16,179.986038208008,69.7041778564453,269.98602294921903,ZP
20140222092641.mat,0.20434339344501504,-0.0317103937268257,-0.659174978733063,-0.6607696413993841,203,22,16,179.99133300781202,69.6888885498047,269.991333007812,ZP
20140222092641.mat,0.204507872462273,-0.050693716853857006,-0.703119933605194,-0.6593852043151861,203,22,16,179.99708557128898,69.67360687255861,269.9970703125,ZP
