DaqName,CFS.Accelerator.Pedal.Position,CFS.Brake.Pedal.Force,CFS.Steering.Wheel.Angle,SCC.Lane.Deviation.2,SCC.LogStreams.2,SCC.LogStreams.5,SCC.MenuSearch,VDS.Veh.Heading,VDS.Veh.Speed,VDS.Veh.Heading.Fixed,DosingLevel
20130713092836.mat,0.0,0.0054943799041211605,-0.5712849497795099,0.0,0,22,9,-180.403594970703,0.00132835505064577,-90.40359497070308,ZP
20130713092836.mat,0.0,0.0339693650603294,-0.5712849497795099,0.0,0,22,9,-180.403289794922,0.00106774910818785,-90.40328979492192,ZP
20130713092836.mat,0.0,0.0339693650603294,-0.5712849497795099,-0.210018306970596,0,22,9,-180.405303955078,0.00101961207110435,-90.40530395507808,ZP
20130713092836.mat,0.0,-0.0229808371514082,-0.5712849497795099,-0.210032671689987,0,22,9,-180.47985839843798,0.0190005097538233,-90.4798583984375,ZP
20130713092836.mat,0.0,-0.0134891755878925,-0.5712849497795099,-0.21004389226436604,0,22,9,-180.37083435058602,0.0127988234162331,-90.3708343505859,ZP
20130713092836.mat,0.0,0.0149860419332981,-0.5712849497795099,-0.210007041692734,0,22,9,-180.36071777343798,0.00588026689365506,-90.3607177734375,ZP
20130713092836.mat,0.0,-0.070439375936985,-0.5712849497795099,-0.209972769021988,0,22,9,-180.362731933594,0.00156505033373833,-90.36273193359379,ZP
20130713092836.mat,0.0,0.0054943799041211605,-0.5712849497795099,-0.20993973314762102,0,22,9,-180.36474609375,0.00536439474672079,-90.36474609375,ZP
20130713092836.mat,0.0,0.0434612594544888,-0.5712849497795099,-0.209915056824684,0,22,9,-180.366760253906,0.0062015438452363,-90.36676025390621,ZP
20130713092836.mat,0.0,0.0054943799041211605,-0.5712849497795099,-0.20990090072155,0,22,9,-180.36877441406202,0.00555975735187531,-90.3687744140625,ZP
20130713092836.mat,0.0,0.0054943799041211605,-0.5712849497795099,-0.20989654958248102,0,22,9,-180.370788574219,0.0039999932050705,-90.37078857421879,ZP
20130713092836.mat,0.0,0.0244777034968138,-0.5712849497795099,-0.209900826215744,0,22,9,-180.372802734375,0.00210592336952686,-90.372802734375,ZP
20130713092836.mat,0.0,0.0244777034968138,-0.5712849497795099,-0.209911748766899,0,22,9,-180.374816894531,0.000747641606722027,-90.37481689453121,ZP
20130713092836.mat,0.0,0.0149860419332981,-0.5712849497795099,-0.209926292300224,0,22,9,-180.37683105468798,0.000724988523870707,-90.3768310546875,ZP
20130713092836.mat,0.0,-0.0609477162361145,-0.5712849497795099,-0.20994311571121202,0,22,9,-180.378845214844,0.000892787706106901,-90.37884521484379,ZP
20130713092836.mat,0.0,0.0054943799041211605,-0.5712849497795099,-0.20996129512786899,0,22,0,-180.380859375,0.00107565813232213,-90.380859375,ZP
20130713092836.mat,0.0,0.0244777034968138,-0.5712849497795099,-0.209981843829155,0,22,0,-180.382873535156,0.00103149376809597,-90.38287353515621,ZP
20130713092836.mat,0.0,0.0529531501233578,-0.5712849497795099,-0.21000351011753102,0,22,0,-180.38488769531202,0.000883209111634642,-90.3848876953125,ZP
20130713092836.mat,0.0,0.0149860419332981,-0.5712849497795099,-0.21002371609210999,0,22,0,-180.386901855469,0.000973076792433858,-90.38690185546879,ZP
20130713092836.mat,0.0,-0.0134891755878925,-0.5712849497795099,-0.21004082262516,0,22,0,-180.388916015625,0.00102756661362946,-90.388916015625,ZP
20130713092836.mat,0.0,0.0529531501233578,-0.5712849497795099,-0.21005558967590302,0,22,0,-180.390930175781,0.0009964158525690439,-90.39093017578121,ZP
20130713092836.mat,0.0,0.16685354709625197,-0.5712849497795099,-0.21006768941879297,0,22,0,-180.39294433593798,0.0008919433457776901,-90.3929443359375,ZP
20130713092836.mat,0.0,-0.0229808371514082,-0.5712849497795099,-0.21007451415061998,0,22,0,-180.394958496094,0.0008130772039294241,-90.39495849609379,ZP
20130713092836.mat,0.0,-0.0134891755878925,-0.5712849497795099,-0.210081428289413,0,22,0,-180.39697265625,0.000796783191617578,-90.39697265625,ZP
20130713092836.mat,0.0,0.0339693650603294,-0.5712849497795099,-0.210083320736885,0,22,0,-180.398986816406,0.0008121312130242589,-90.39898681640621,ZP
20130713092836.mat,0.0,0.0054943799041211605,-0.5712849497795099,-0.21008238196373,0,22,0,-180.40100097656202,0.000849419389851391,-90.4010009765625,ZP
20130713092836.mat,0.0,0.0149860419332981,-0.5712849497795099,-0.210079446434975,0,22,0,-180.403015136719,0.0008933822391554711,-90.40301513671879,ZP
20130713092836.mat,0.0,0.0054943799041211605,-0.5712849497795099,-0.21007499098777802,0,22,0,-180.40406799316398,0.0009294130722992119,-90.4040679931641,ZP
20130713092836.mat,0.0,-0.0134891755878925,-0.5712849497795099,-0.21006955206394198,0,22,0,-180.403625488281,0.000954464718233794,-90.40362548828121,ZP
20130713092836.mat,0.0,-0.0134891755878925,-0.5712849497795099,-0.21006348729133603,0,22,0,-180.403854370117,0.000967231171671301,-90.4038543701172,ZP
20130713092836.mat,0.0,0.0149860419332981,-0.5712849497795099,-0.21005718410015098,0,22,0,-180.40397644043,0.0009728260920383039,-90.4039764404297,ZP
20130713092836.mat,0.0,0.0054943799041211605,-0.5712849497795099,-0.21005079150199898,0,22,0,-180.403732299805,0.0009724753908813,-90.4037322998047,ZP
20130713092836.mat,0.0,-0.0134891755878925,-0.5712849497795099,-0.21004463732242604,0,22,0,-180.403366088867,0.000971261295489967,-90.4033660888672,ZP
20130713092836.mat,0.0,-0.0134891755878925,-0.5712849497795099,-0.21003887057304396,0,22,0,-180.40319824218798,0.000968864245805889,-90.4031982421875,ZP
20130713092836.mat,0.0,-0.003997513558715579,-0.5712849497795099,-0.210033759474754,0,22,0,-180.403167724609,0.000966358638834208,-90.40316772460942,ZP
20130713092836.mat,0.0,0.0149860419332981,-0.5712849497795099,-0.21393543481826802,0,22,0,-180.403076171875,0.000962508784141392,-90.403076171875,ZP
