DaqName,CFS.Accelerator.Pedal.Position,CFS.Brake.Pedal.Force,CFS.Steering.Wheel.Angle,SCC.Lane.Deviation.2,SCC.LogStreams.2,SCC.LogStreams.5,SCC.MenuSearch,VDS.Veh.Heading,VDS.Veh.Speed,VDS.Veh.Heading.Fixed,DosingLevel
20140201090423.mat,0.366992592811584,-0.0766022503376007,1.2304599285125701,-1.5865021944046,203,22,19,180.218688964844,68.6577224731445,270.21868896484403,YP
20140201090423.mat,0.366740256547928,-0.0386353693902493,1.4062399864196797,-1.59046399593353,203,22,19,180.21728515625,68.6645431518555,270.21728515625,YP
20140201090423.mat,0.36561965942382796,-0.0196518152952194,1.58201992511749,-1.5944021940231299,203,22,19,180.215240478516,68.67136383056639,270.215240478516,YP
20140201090423.mat,0.365025639533997,0.0372983850538731,1.7138549089431798,-1.5983076095581101,203,22,19,180.212951660156,68.67819213867189,270.21295166015597,YP
20140201090423.mat,0.365375369787216,0.0278067253530025,1.80174493789673,-1.6041246652603103,203,22,19,180.21008300781202,68.6850128173828,270.210083007812,YP
20140201090423.mat,0.36591362953185996,-0.0196518152952194,1.84568989276886,-1.6079405546188401,203,22,19,180.20690917968798,68.69183349609379,270.206909179688,YP
20140201090423.mat,0.366534560918808,-0.0386353693902493,1.88963496685028,-1.61365652084351,203,22,19,180.203704833984,68.6986618041992,270.203704833984,YP
20140201090423.mat,0.36659184098243697,-0.0576186925172806,1.88963496685028,-1.6173654794693,203,22,19,180.20031738281202,68.70547485351561,270.200317382812,YP
20140201090423.mat,0.366129547357559,-0.0196518152952194,1.88963496685028,-1.62102353572845,203,22,19,180.19641113281202,68.7122955322266,270.196411132812,YP
20140201090423.mat,0.36584392189979603,-0.000668492168188095,1.88963496685028,-1.62659180164337,203,22,19,180.191925048828,68.7191162109375,270.191925048828,YP
20140201090423.mat,0.366059422492981,-0.0101601537317038,1.88963496685028,-1.63017463684082,203,22,19,180.187057495117,68.72592926025389,270.18707275390597,YP
20140201090423.mat,0.366199851036072,-0.0386353693902493,1.88963496685028,-1.63568949699402,203,22,19,180.18200683593798,68.73272705078121,270.182006835938,YP
20140201090423.mat,0.365753442049026,-0.0386353693902493,1.84568989276886,-1.6392403841018701,203,22,19,180.176727294922,68.7395401000977,270.176727294922,YP
20140201090423.mat,0.365459352731705,-0.0101601537317038,1.84568989276886,-1.6447418928146398,203,22,19,180.171279907227,68.7463455200195,270.171264648438,YP
20140201090423.mat,0.36529961228370705,0.0278067253530025,1.84568989276886,-1.6482937335968,203,22,19,180.165802001953,68.75315093994139,270.165802001953,YP
20140201090423.mat,0.36538088321685797,0.00882340129464865,1.84568989276886,-1.65380585193634,203,22,19,180.160232543945,68.75994873046879,270.16021728515597,YP
20140201090423.mat,0.36566051840782204,-0.0481270328164101,1.80174493789673,-1.6573740243911699,203,22,19,180.154632568359,68.76675415039061,270.154632568359,YP
20140201090423.mat,0.365832924842834,-0.0481270328164101,1.80174493789673,-1.6609526872634899,203,22,19,180.148895263672,68.77353668212889,270.148895263672,YP
20140201090423.mat,0.3658937513828279,-0.0291434768587351,1.7577999830246,-1.66649556159973,203,22,19,180.143157958984,68.7803268432617,270.143157958984,YP
20140201090423.mat,0.36536705493927,0.0183150619268417,1.7577999830246,-1.6700963973999,203,22,19,180.138397216797,68.787109375,270.138397216797,YP
20140201090423.mat,0.365429013967514,-0.000668492168188095,1.7577999830246,-1.67370796203613,203,22,19,180.133834838867,68.79388427734379,270.13385009765597,YP
20140201090423.mat,0.365804433822632,-0.0196518152952194,1.7577999830246,-1.679283618927,203,22,19,180.12776184082,68.8006591796875,270.12774658203097,YP
20140201090423.mat,0.36633113026619,-0.0576186925172806,1.7577999830246,-1.6829217672348002,203,22,19,180.121337890625,68.8074188232422,270.121337890625,YP
20140201090423.mat,0.36628186702728294,-0.0481270328164101,1.7577999830246,-1.6865768432617199,203,22,19,180.115829467773,68.81417846679689,270.115844726562,YP
20140201090423.mat,0.366206556558609,0.0183150619268417,1.7138549089431798,-1.6902469396591202,203,22,19,180.110900878906,68.820930480957,270.11090087890597,YP
20140201090423.mat,0.366331487894058,-0.000668492168188095,1.7138549089431798,-1.69392895698547,203,22,19,180.105667114258,68.8276824951172,270.10565185546903,YP
20140201090423.mat,0.366815596818924,-0.0291434768587351,1.7138549089431798,-1.69761979579926,203,22,19,180.10008239746102,68.8344192504883,270.10009765625,YP
20140201090423.mat,0.36678913235664395,-0.0386353693902493,1.7138549089431798,-1.70131719112396,203,22,19,180.094543457031,68.84116363525389,270.09454345703097,YP
20140201090423.mat,0.36619338393211404,-0.0196518152952194,1.7577999830246,-1.70501899719238,203,22,19,180.089172363281,68.847900390625,270.08917236328097,YP
20140201090423.mat,0.365439563989639,0.0467902794480324,1.7577999830246,-1.70872390270233,203,22,19,180.083831787109,68.8546295166016,270.083831787109,YP
20140201090423.mat,0.365449905395508,0.00882340129464865,1.7577999830246,-1.71243155002594,203,22,19,180.078399658203,68.8613662719727,270.078399658203,YP
