DaqName,CFS.Accelerator.Pedal.Position,CFS.Brake.Pedal.Force,CFS.Steering.Wheel.Angle,SCC.Lane.Deviation.2,SCC.LogStreams.2,SCC.LogStreams.5,SCC.MenuSearch,VDS.Veh.Heading,VDS.Veh.Speed,VDS.Veh.Heading.Fixed,DosingLevel
20130808104839.mat,0.0,0.0011323816142976301,-0.131834983825684,0.0,101,11,12,89.9907989501953,0.00131709780544043,179.990798950195,XP
20130808104839.mat,0.0,0.0390992611646652,-0.131834983825684,0.0,101,11,12,89.9908599853516,0.00157065677922219,179.990859985352,XP
20130808104839.mat,0.0,0.0296075977385044,-0.131834983825684,0.0,101,11,12,89.9888458251953,0.0016146185807883698,179.988845825195,XP
20130808104839.mat,0.0,0.0201159361749887,-0.131834983825684,0.178682833909988,101,11,12,89.9899673461914,0.0016379598528146698,179.989959716797,XP
20130808104839.mat,0.0,0.0296075977385044,-0.131834983825684,0.178673595190048,101,11,12,89.9919815063477,0.00164943397976458,179.991973876953,XP
20130808104839.mat,0.0,0.0201159361749887,-0.131834983825684,0.178668007254601,101,11,12,89.9916458129883,0.00165365415159613,179.991638183594,XP
20130808104839.mat,0.0,0.0296075977385044,-0.131834983825684,0.17866533994674696,101,11,12,89.9905853271484,0.00165354076307267,179.990585327148,XP
20130808104839.mat,0.0,0.0201159361749887,-0.131834983825684,0.17866475880146002,101,11,12,89.9904632568359,0.0016495753079652801,179.99046325683602,XP
20130808104839.mat,0.0,-0.0273428354412317,-0.131834983825684,0.17866571247577698,101,11,12,89.9910430908203,0.00164378969930112,179.99104309082,XP
20130808104839.mat,0.0,0.0390992611646652,-0.131834983825684,0.17866772413253798,101,11,12,89.99139404296879,0.00163590384181589,179.991394042969,XP
20130808104839.mat,0.0,0.0201159361749887,-0.131834983825684,0.17867049574851998,101,11,12,89.99124145507808,0.0016281325370073301,179.991241455078,XP
20130808104839.mat,0.0,0.0580828152596951,-0.131834983825684,0.178673729300499,101,11,12,89.9910507202148,0.00162090396042913,179.991058349609,XP
20130808104839.mat,0.0,0.0485909208655357,-0.131834983825684,0.178677171468735,101,11,12,89.9911270141602,0.00161394791211933,179.991119384766,XP
20130808104839.mat,0.0,0.0390992611646652,-0.131834983825684,0.17868074774742101,101,11,12,89.99130249023442,0.00160808383952826,179.991302490234,XP
20130808104839.mat,0.0,0.0390992611646652,-0.131834983825684,0.17868418991565696,101,11,12,89.99139404296879,0.0016024721553549199,179.991394042969,XP
20130808104839.mat,0.0,0.0960496962070465,-0.131834983825684,0.17868751287460302,101,11,12,89.9914169311523,0.00159464415628463,179.991424560547,XP
20130808104839.mat,0.0,0.0580828152596951,-0.131834983825684,0.178690552711487,101,11,0,89.99139404296879,0.0015900343423709302,179.991394042969,XP
20130808104839.mat,0.0,0.0296075977385044,-0.131834983825684,0.17869310081005105,101,11,0,89.9914398193359,0.00158756494056433,179.99143981933602,XP
20130808104839.mat,0.0,0.0201159361749887,-0.131834983825684,0.178695231676102,101,11,0,89.9915542602539,0.0015841918066144,179.991546630859,XP
20130808104839.mat,0.0,-0.0368344970047474,-0.131834983825684,0.17869690060615498,101,11,0,89.9916458129883,0.00158044823911041,179.991638183594,XP
20130808104839.mat,0.0,0.0485909208655357,-0.131834983825684,0.178698197007179,101,11,0,89.9916534423828,0.0015788977034389999,179.991653442383,XP
20130808104839.mat,0.0,-0.0178509410470724,-0.131834983825684,0.178699135780334,101,11,0,89.99169921875,0.00157672225032002,179.99169921875,XP
