DaqName,CFS.Accelerator.Pedal.Position,CFS.Brake.Pedal.Force,CFS.Steering.Wheel.Angle,SCC.Lane.Deviation.2,SCC.LogStreams.2,SCC.LogStreams.5,SCC.MenuSearch,VDS.Veh.Heading,VDS.Veh.Speed,VDS.Veh.Heading.Fixed,DosingLevel
20130108085954.mat,0.386028409004211,-0.0126297511160374,1.1425698995590199,-2.54127645492554,203,22,1,90.19369506835942,64.8108444213867,180.193695068359,XP
20130108085954.mat,0.38611194491386397,-0.041104968637228,1.2744048833847,-2.54514002799988,203,22,1,90.1919174194336,64.8214874267578,180.191925048828,XP
20130108085954.mat,0.386113613843918,-0.0316130742430687,1.4062399864196797,-2.54898381233215,203,22,1,90.1903610229492,64.8321380615234,180.190368652344,XP
20130108085954.mat,0.38596490025520297,-0.041104968637228,1.58201992511749,-2.5537781715393097,203,22,1,90.18951416015621,64.8427886962891,180.189514160156,XP
20130108085954.mat,0.386278867721558,-0.022121412679553,1.7577999830246,-2.55756449699402,203,22,1,90.18616485595699,64.8534317016602,180.18615722656202,XP
20130108085954.mat,0.386738568544388,-0.0695799514651299,2.02146983146667,-2.5613212585449197,203,22,1,90.18053436279301,64.86407470703121,180.18054199218798,XP
20130108085954.mat,0.38686665892600997,-0.0505966283380985,2.2851397991180398,-2.5660247802734397,203,22,1,90.1743011474609,64.8747100830078,180.17430114746102,XP
20130108085954.mat,0.38662588596344,-0.0126297511160374,2.5048649311065696,-2.5697176456451403,203,22,1,90.1681442260742,64.88534545898439,180.168151855469,XP
20130108085954.mat,0.38609108328819297,-0.022121412679553,2.7245898246765097,-2.57434511184692,203,22,1,90.1614456176758,64.89597320556639,180.161437988281,XP
20130108085954.mat,0.38592505455017106,-0.022121412679553,2.90036988258362,-2.57794570922852,203,22,1,90.1535797119141,64.90659332275389,180.15357971191398,XP
20130108085954.mat,0.386337667703629,-0.022121412679553,3.0322048664093,-2.5814893245697,203,22,1,90.1447525024414,64.91721343994139,180.144744873047,XP
