DaqName,CFS.Accelerator.Pedal.Position,CFS.Brake.Pedal.Force,CFS.Steering.Wheel.Angle,SCC.Lane.Deviation.2,SCC.LogStreams.2,SCC.LogStreams.5,SCC.MenuSearch,VDS.Veh.Heading,VDS.Veh.Speed,VDS.Veh.Heading.Fixed,DosingLevel
20131205090240.mat,0.48378279805183394,-0.0633236989378929,0.395504981279373,-1.1053352355957,203,22,7,89.8955535888672,64.5326385498047,179.895553588867,XP
20131205090240.mat,0.48354694247245794,-0.0348484851419926,0.351559996604919,-1.09750318527222,203,22,7,89.8984909057617,64.55287933349611,179.898498535156,XP
20131205090240.mat,0.4835890829563139,-0.0443401448428631,0.30761498212814303,-1.09357643127441,203,22,7,89.90245819091801,64.573112487793,179.90246582031202,XP
20131205090240.mat,0.4833879768848421,-0.0633236989378929,0.26366999745368996,-1.08964908123016,203,22,7,89.9052047729492,64.5933380126953,179.905212402344,XP
20131205090240.mat,0.48403358459472706,-0.0253568217158318,0.219724997878075,-1.08182060718536,203,22,7,89.9074859619141,64.6135406494141,179.90748596191398,XP
20131205090240.mat,0.48376539349555997,-0.0538320392370224,0.17577999830245997,-1.07790815830231,203,22,7,89.9105987548828,64.6337356567383,179.910598754883,XP
20131205090240.mat,0.483431816101074,-0.0443401448428631,0.0878899991512299,-1.0740077495575,203,22,7,89.91461181640621,64.65390777587889,179.914611816406,XP
20131205090240.mat,0.48398160934448203,-0.0823070257902145,0.0439449995756149,-1.07012045383453,203,22,7,89.9187545776367,64.6740646362305,179.918762207031,XP
20131205090240.mat,0.484276294708252,-0.0538320392370224,0.0,-1.06624698638916,203,22,7,89.92259979248051,64.694206237793,179.922607421875,XP
20131205090240.mat,0.48464295268058794,-0.0538320392370224,-0.0439449958503246,-1.06238865852356,203,22,7,89.9263916015625,64.71433258056639,179.92639160156202,XP
20131205090240.mat,0.484983175992966,-0.0823070257902145,-0.0878899917006493,-1.05463981628418,203,22,7,89.9305191040039,64.7344436645508,179.930511474609,XP
20131205090240.mat,0.484278112649918,-0.0443401448428631,-0.131834983825684,-1.05081307888031,203,22,7,89.9350204467773,64.75453948974611,179.935028076172,XP
20131205090240.mat,0.483732014894485,-0.0728153586387634,-0.175779983401299,-1.0470008850097698,203,22,7,89.93966674804692,64.7746124267578,179.939666748047,XP
20131205090240.mat,0.48370543122291604,-0.0538320392370224,-0.219724982976913,-1.0432014465332,203,22,7,89.94591522216801,64.794677734375,179.94592285156202,XP
20131205090240.mat,0.48364713788032504,-0.0823070257902145,-0.219724982976913,-1.03941249847412,203,22,7,89.9518051147461,64.81472778320311,179.951812744141,XP
20131205090240.mat,0.48391246795654297,-0.0538320392370224,-0.263669967651367,-1.03563332557678,203,22,7,89.95632934570308,64.8347625732422,179.956329345703,XP
20131205090240.mat,0.48352709412574796,-0.0538320392370224,-0.30761498212814303,-1.03186810016632,203,22,7,89.9611129760742,64.8547744750977,179.961120605469,XP
20131205090240.mat,0.48310908675193803,-0.0633236989378929,-0.30761498212814303,-1.02811634540558,203,22,7,89.9671783447266,64.87477874755861,179.967178344727,XP
20131205090240.mat,0.4834044277668,-0.0633236989378929,-0.351559966802597,-1.02437496185303,203,22,7,89.9738006591797,64.8947677612305,179.97380065918,XP
20131205090240.mat,0.48359775543212896,-0.0443401448428631,-0.395504981279373,-1.02064073085785,203,22,7,89.9802780151367,64.91473388671879,179.980285644531,XP
20131205090240.mat,0.483504891395569,-0.0538320392370224,-0.43944996595382707,-1.01691126823425,203,22,7,89.9865570068359,64.9346923828125,179.98655700683602,XP
20131205090240.mat,0.483834117650986,-0.0348484851419926,-0.48339498043060297,-1.01709151268005,203,22,7,89.9930191040039,64.9546356201172,179.993011474609,XP
20131205090240.mat,0.4835530519485471,-0.0443401448428631,-0.527339935302734,-1.01336848735809,203,22,7,89.9999008178711,64.97454833984379,179.999908447266,XP
20131205090240.mat,0.48374083638191206,-0.0538320392370224,-0.5712849497795099,-1.00964844226837,203,22,7,90.0083694458008,64.9944610595703,180.008361816406,XP
20131205090240.mat,0.4840468466281889,-0.110782243311405,-0.615229964256287,-1.0059312582016,203,22,7,90.0164947509766,65.0143508911133,180.016494750977,XP
20131205090240.mat,0.48406037688255293,-0.0823070257902145,-0.659174978733063,-1.0022186040878298,203,22,7,90.0233993530273,65.0342330932617,180.023406982422,XP
20131205090240.mat,0.48439320921897905,-0.0538320392370224,-0.659174978733063,-1.0024224519729599,203,22,7,90.0305404663086,65.0540924072266,180.030548095703,XP
20131205090240.mat,0.48390939831733704,-0.0823070257902145,-0.703119933605194,-0.998731791973114,203,22,7,90.03884887695308,65.0739288330078,180.038848876953,XP
20131205090240.mat,0.48270943760871904,-0.0443401448428631,-0.7470649480819699,-0.995051920413971,203,22,7,90.0475616455078,65.0937576293945,180.047561645508,XP
20131205090240.mat,0.4809771478176121,-0.0633236989378929,-0.7470649480819699,-0.9952873587608341,203,22,7,90.05584716796879,65.1135711669922,180.055847167969,XP
20131205090240.mat,0.47839537262916604,-0.0443401448428631,-0.7470649480819699,-0.991623818874359,203,22,7,90.0637741088867,65.1333694458008,180.063781738281,XP
20131205090240.mat,0.476102232933044,-0.0443401448428631,-0.7470649480819699,-0.991871535778046,203,22,7,90.0720062255859,65.1531524658203,180.07200622558602,XP
20131205090240.mat,0.473506569862366,-0.0443401448428631,-0.7470649480819699,-0.988215088844299,203,22,7,90.0806884765625,65.17291259765621,180.08068847656202,XP
20131205090240.mat,0.469909936189651,-0.0917989164590836,-0.7470649480819699,-0.988463521003723,203,22,7,90.0893325805664,65.19265747070311,180.089324951172,XP
20131205090240.mat,0.46619883179664595,-0.0633236989378929,-0.7470649480819699,-0.984801530838013,203,22,7,90.0977020263672,65.2123947143555,180.097702026367,XP
20131205090240.mat,0.46222329139709495,-0.0348484851419926,-0.703119933605194,-0.9850392937660221,203,22,7,90.10696411132808,65.2321014404297,180.106964111328,XP
20131205090240.mat,0.45825323462486295,-0.00637326762080193,-0.703119933605194,-0.985268354415894,203,22,7,90.11658477783199,65.2517776489258,180.11657714843798,XP
20131205090240.mat,0.45441022515296897,-0.0633236989378929,-0.659174978733063,-0.981581211090088,203,22,7,90.1244964599609,65.2714080810547,180.12449645996102,XP
20131205090240.mat,0.450647085905075,-0.0728153586387634,-0.615229964256287,-0.9817944169044491,203,22,7,90.1318130493164,65.29098510742189,180.131805419922,XP
20131205090240.mat,0.44642868638038596,-0.0728153586387634,-0.527339935302734,-0.9820024371147159,203,22,7,90.1397171020508,65.31048583984379,180.139709472656,XP
20131205090240.mat,0.441339105367661,-0.0443401448428631,-0.48339498043060297,-0.982202410697937,203,22,7,90.14785766601558,65.3299102783203,180.147857666016,XP
20131205090240.mat,0.43419861793518105,-0.0917989164590836,-0.395504981279373,-0.982390165328979,203,22,7,90.1554183959961,65.34922027587889,180.155426025391,XP
20131205090240.mat,0.425226539373398,-0.0633236989378929,-0.263669967651367,-0.982560813426971,203,22,7,90.16220092773442,65.3684158325195,180.162200927734,XP
20131205090240.mat,0.41564354300499,-0.0443401448428631,-0.175779983401299,-0.982709765434265,203,22,7,90.1686172485352,65.38748168945311,180.168609619141,XP
20131205090240.mat,0.406155973672867,-0.0538320392370224,-0.0878899917006493,-0.982832312583923,203,22,7,90.17479705810551,65.4063873291016,180.1748046875,XP
20131205090240.mat,0.39729610085487393,-0.0633236989378929,0.0439449995756149,-0.982924342155457,203,22,7,90.1805572509766,65.4251251220703,180.180557250977,XP
20131205090240.mat,0.389237552881241,-0.0728153586387634,0.17577999830245997,-0.982982754707336,203,22,7,90.18567657470699,65.44366455078121,180.18566894531202,XP
20131205090240.mat,0.381744414567947,-0.0538320392370224,0.26366999745368996,-0.986911237239838,203,22,7,90.1900634765625,65.46197509765621,180.19006347656202,XP
20131205090240.mat,0.37516903877258295,-0.0538320392370224,0.395504981279373,-0.9868957400321959,203,22,7,90.19387817382808,65.4800262451172,180.193878173828,XP
20131205090240.mat,0.36920806765556297,-0.0443401448428631,0.527339994907379,-0.9868413805961609,203,22,7,90.1971893310547,65.4978103637695,180.197189331055,XP
20131205090240.mat,0.363452285528183,-0.0633236989378929,0.659174978733063,-0.9906538128852841,203,22,7,90.1999053955078,65.5152740478516,180.199905395508,XP
20131205090240.mat,0.35810032486915605,-0.0633236989378929,0.7470649480819699,-0.990520477294922,203,22,7,90.20203399658199,65.5323944091797,180.20202636718798,XP
20131205090240.mat,0.353018522262573,-0.0917989164590836,0.878899991512299,-0.994254291057587,203,22,7,90.20348358154301,65.5491485595703,180.20349121093798,XP
20131205090240.mat,0.34890088438987704,-0.0348484851419926,0.9667899608612059,-0.9940440058708191,203,22,7,90.204345703125,65.5654983520508,180.204345703125,XP
20131205090240.mat,0.34538984298706105,-0.0253568217158318,1.0546799898147599,-0.9977040886878971,203,22,7,90.2047500610352,65.5814361572266,180.204742431641,XP
20131205090240.mat,0.342806220054626,-0.0538320392370224,1.0986249446868899,-1.00133049488068,203,22,7,90.20465087890621,65.5969390869141,180.204650878906,XP
20131205090240.mat,0.340714663267136,-0.0728153586387634,1.1425698995590199,-1.0010199546814,203,22,7,90.20421600341801,65.6119918823242,180.20422363281202,XP
20131205090240.mat,0.33857786655426003,-0.0633236989378929,1.18651497364044,-1.0045884847641,203,22,7,90.20336151123051,65.626594543457,180.203369140625,XP
20131205090240.mat,0.336444228887558,-0.0443401448428631,1.2304599285125701,-1.00813376903534,203,22,7,90.2019500732422,65.640754699707,180.201950073242,XP
20131205090240.mat,0.334052205085754,-0.0633236989378929,1.2744048833847,-1.0116610527038599,203,22,7,90.2006149291992,65.6544876098633,180.200622558594,XP
20131205090240.mat,0.331630676984787,-0.0253568217158318,1.3183499574661297,-1.01517522335052,203,22,7,90.19998168945308,65.66778564453121,180.199981689453,XP
20131205090240.mat,0.329874277114868,-0.0538320392370224,1.3183499574661297,-1.01868081092834,203,22,7,90.1975326538086,65.6806640625,180.197540283203,XP
