DaqName,CFS.Accelerator.Pedal.Position,CFS.Brake.Pedal.Force,CFS.Steering.Wheel.Angle,SCC.Lane.Deviation.2,SCC.LogStreams.2,SCC.LogStreams.5,SCC.MenuSearch,VDS.Veh.Heading,VDS.Veh.Speed,VDS.Veh.Heading.Fixed,DosingLevel
20121211112410.mat,0.36410316824913,-0.0238326136022806,-0.219724982976913,-1.00257992744446,203,22,7,89.8607940673828,52.658634185790994,179.860794067383,YP
20121211112410.mat,0.364116281270981,-0.0238326136022806,-0.175779983401299,-0.9988868236541751,203,22,7,89.8653793334961,52.675235748290994,179.865386962891,YP
20121211112410.mat,0.364568322896957,-0.0428159385919571,-0.131834983825684,-0.99513190984726,203,22,7,89.8696136474609,52.691829681396506,179.86961364746102,YP
20121211112410.mat,0.364544183015823,-0.0428159385919571,-0.131834983825684,-0.987552583217621,203,22,7,89.87366485595699,52.7084159851074,179.87365722656202,YP
20121211112410.mat,0.364252775907516,-0.0428159385919571,-0.0878899917006493,-0.9838135838508609,203,22,7,89.8777542114258,52.724983215332,179.877746582031,YP
20121211112410.mat,0.364124745130539,-0.014340952038765,-0.0439449958503246,-0.980055928230286,203,22,7,89.8816986083984,52.741539001464794,179.881698608398,YP
20121211112410.mat,0.36393511295318604,-0.014340952038765,0.0,-0.97627854347229,203,22,7,89.885498046875,52.7580909729004,179.885498046875,YP
20121211112410.mat,0.363875031471252,-0.0333242751657963,0.0439449995756149,-0.972480535507202,203,22,7,89.88906860351558,52.7746353149414,179.889068603516,YP
20121211112410.mat,0.364211112260818,-0.014340952038765,0.13183499872684498,-0.964754819869995,203,22,7,89.8922576904297,52.7911605834961,179.89225769043,YP
20121211112410.mat,0.36424458026886003,-0.0428159385919571,0.17577999830245997,-0.960914015769958,203,22,7,89.8950576782227,52.8076705932617,179.895050048828,YP
20121211112410.mat,0.364320904016495,-0.0523078292608261,0.26366999745368996,-0.9570519328117371,203,22,7,89.8975601196289,52.824180603027294,179.897552490234,YP
20121211112410.mat,0.364320635795593,-0.0807828158140182,0.30761498212814303,-0.953168749809265,203,22,7,89.8998489379883,52.840671539306605,179.899841308594,YP
20121211112410.mat,0.364096969366074,-0.014340952038765,0.351559996604919,-0.9492642283439641,203,22,7,89.9019317626953,52.857151031494105,179.901931762695,YP
20121211112410.mat,0.36400148272514293,0.0141342645511031,0.439449995756149,-0.945337891578674,203,22,7,89.90380859375,52.8736152648926,179.90380859375,YP
20121211112410.mat,0.36433839797973605,-0.014340952038765,0.48339498043060297,-0.941389560699463,203,22,7,89.9062652587891,52.8900680541992,179.90626525878898,YP
20121211112410.mat,0.36460170149803206,-0.0333242751657963,0.5712849497795099,-0.937419950962067,203,22,7,89.9079055786133,52.9065132141113,179.907897949219,YP
20121211112410.mat,0.36461105942726096,-0.0712911561131477,0.615229964256287,-0.9334309101104741,203,22,7,89.90811157226558,52.9229393005371,179.908111572266,YP
20121211112410.mat,0.36453422904014604,-0.0523078292608261,0.659174978733063,-0.9294281005859379,203,22,7,89.90821075439449,52.939357757568395,179.908203125,YP
20121211112410.mat,0.364287704229355,-0.0617994926869869,0.703119993209839,-0.925414383411407,203,22,7,89.9088821411133,52.9557571411133,179.908874511719,YP
20121211112410.mat,0.36414071917533897,-0.0333242751657963,0.7470649480819699,-0.9213900566101071,203,22,7,89.9094772338867,52.9721527099609,179.909484863281,YP
20121211112410.mat,0.36410665512085,-0.0048490590415895,0.791009962558746,-0.917354822158813,203,22,7,89.9094924926758,52.9885330200195,179.909484863281,YP
20121211112410.mat,0.36458447575569203,-0.0238326136022806,0.791009962558746,-0.91330885887146,203,22,7,89.90899658203121,53.0048980712891,179.908996582031,YP
20121211112410.mat,0.36454391479492204,-0.0048490590415895,0.834954977035522,-0.91315895318985,203,22,7,89.90838623046879,53.0212631225586,179.908386230469,YP
20121211112410.mat,0.364210993051529,-0.0523078292608261,0.834954977035522,-0.909093797206879,203,22,7,89.9077301025391,53.0376091003418,179.90773010253898,YP
20121211112410.mat,0.363832473754883,-0.0428159385919571,0.834954977035522,-0.905020833015442,203,22,7,89.9069442749023,53.0539436340332,179.906951904297,YP
20121211112410.mat,0.36360970139503496,-0.0238326136022806,0.834954977035522,-0.900941550731659,203,22,7,89.9059600830078,53.07026672363279,179.905960083008,YP
20121211112410.mat,0.363622277975082,-0.014340952038765,0.834954977035522,-0.8968573808670041,203,22,7,89.90493774414058,53.086578369140604,179.904937744141,YP
