DaqName,CFS.Accelerator.Pedal.Position,CFS.Brake.Pedal.Force,CFS.Steering.Wheel.Angle,SCC.Lane.Deviation.2,SCC.LogStreams.2,SCC.LogStreams.5,SCC.MenuSearch,VDS.Veh.Heading,VDS.Veh.Speed,VDS.Veh.Heading.Fixed,DosingLevel
20130710090455.mat,0.35560452938079795,0.0721301883459091,-0.7470649480819699,-0.339606285095215,203,22,10,89.7993850708008,60.1254959106445,179.799377441406,ZP
20130710090455.mat,0.355318635702133,0.0721301883459091,-0.8788999319076541,-0.33187210559845,203,22,10,89.80541229248051,60.1352653503418,179.805419921875,ZP
20130710090455.mat,0.35531044006347706,0.0911135077476501,-1.0107349157333398,-0.32415276765823403,203,22,10,89.8121795654297,60.14501953125,179.81217956543,ZP
20130710090455.mat,0.35517787933349604,0.11009706556797,-1.0986249446868899,-0.316448301076889,203,22,10,89.8195571899414,60.1547698974609,179.819549560547,ZP
20130710090455.mat,0.355287194252014,0.0911135077476501,-1.2304599285125701,-0.30876088142395003,203,22,10,89.8274078369141,60.1645164489746,179.82740783691398,ZP
20130710090455.mat,0.35545352101326005,0.129080384969711,-1.2744048833847,-0.304999977350235,203,22,10,89.83702850341801,60.1742477416992,179.83703613281202,ZP
20130710090455.mat,0.35597622394561795,0.1006054058671,-1.3183499574661297,-0.29735603928565996,203,22,10,89.845703125,60.1839714050293,179.845703125,ZP
20130710090455.mat,0.356145530939102,0.0911135077476501,-1.3183499574661297,-0.28973987698555,203,22,10,89.8534164428711,60.1936912536621,179.853424072266,ZP
20130710090455.mat,0.356508821249008,0.0911135077476501,-1.3183499574661297,-0.28600209951400796,203,22,10,89.86163330078121,60.203399658203104,179.861633300781,ZP
20130710090455.mat,0.356267720460892,0.1006054058671,-1.2744048833847,-0.278507828712463,203,22,10,89.87115478515621,60.213096618652294,179.871154785156,ZP
20130710090455.mat,0.35619005560874895,0.119588725268841,-1.2744048833847,-0.270975649356842,203,22,10,89.881103515625,60.222785949707,179.881103515625,ZP
20130710090455.mat,0.356023997068405,0.0911135077476501,-1.2304599285125701,-0.263456583023071,203,22,10,89.8906784057617,60.2324714660645,179.890686035156,ZP
20130710090455.mat,0.355921059846878,0.05314663052558901,-1.18651497364044,-0.259848386049271,203,22,10,89.89989471435551,60.2421531677246,179.89990234375,ZP
20130710090455.mat,0.35585418343544,0.0721301883459091,-1.1425698995590199,-0.25233119726181,203,22,10,89.9091339111328,60.251823425293,179.909133911133,ZP
20130710090455.mat,0.35554051399231,0.0816218480467796,-1.0986249446868899,-0.24871169030666396,203,22,10,89.9186019897461,60.2614974975586,179.918609619141,ZP
20130710090455.mat,0.355479389429092,0.11009706556797,-1.0546798706054699,-0.24117256700992604,203,22,10,89.9281387329102,60.271167755127,179.928131103516,ZP
20130710090455.mat,0.355679392814636,0.0911135077476501,-1.0546798706054699,-0.23752285540103898,203,22,10,89.93756103515621,60.280834197998,179.937561035156,ZP
20130710090455.mat,0.35567620396614097,0.062638521194458,-1.0107349157333398,-0.23385433852672602,203,22,10,89.94668579101558,60.290496826171896,179.946685791016,ZP
20130710090455.mat,0.355830162763596,0.0911135077476501,-1.0107349157333398,-0.22626049816608398,203,22,10,89.95578002929692,60.3001594543457,179.955780029297,ZP
20130710090455.mat,0.355684489011765,0.11009706556797,-1.0107349157333398,-0.222554907202721,203,22,10,89.96544647216801,60.309814453125,179.96545410156202,ZP
20130710090455.mat,0.355322986841202,0.11009706556797,-1.0107349157333398,-0.218833073973656,203,22,10,89.97608184814449,60.3194694519043,179.97607421875,ZP
20130710090455.mat,0.35535016655921897,0.119588725268841,-1.0107349157333398,-0.21509778499603302,203,22,10,89.9851608276367,60.3291130065918,179.985168457031,ZP
20130710090455.mat,0.35529217123985296,0.0911135077476501,-0.9667899608612059,-0.20745064318180104,203,22,10,89.9932861328125,60.3387565612793,179.99328613281202,ZP
20130710090455.mat,0.35546383261680603,0.0816218480467796,-0.9667899608612059,-0.20371086895465898,203,22,10,90.0018081665039,60.348384857177706,180.001800537109,ZP
20130710090455.mat,0.35557380318641707,0.062638521194458,-0.92284494638443,-0.199974879622459,203,22,10,90.01077270507808,60.3580131530762,180.010772705078,ZP
20130710090455.mat,0.35559728741645796,0.0816218480467796,-0.8788999319076541,-0.19624249637126898,203,22,10,90.01956176757808,60.36763000488279,180.019561767578,ZP
20130710090455.mat,0.355749279260635,0.0436549708247185,-0.834954977035522,-0.192511647939682,203,22,10,90.02783966064449,60.37724304199221,180.02783203125,ZP
20130710090455.mat,0.35586932301521296,0.0911135077476501,-0.791009962558746,-0.19268503785133398,203,22,10,90.0337677001953,60.384449005127,180.033767700195,ZP
20130710090455.mat,0.355818837881088,0.0721301883459091,-0.7470649480819699,-0.18894644081592601,203,22,10,90.04342651367192,60.3964500427246,180.043426513672,ZP
20130710090455.mat,0.35581728816032393,0.0816218480467796,-0.659174978733063,-0.18512053787708302,203,22,10,90.0509262084961,60.406036376953104,180.050933837891,ZP
20130710090455.mat,0.35583689808845503,0.119588725268841,-0.5712849497795099,-0.181434899568558,203,22,10,90.05786895751949,60.415622711181605,180.057861328125,ZP
20130710090455.mat,0.355695396661758,0.11009706556797,-0.43944996595382707,-0.181559652090073,203,22,10,90.0642318725586,60.425201416015604,180.064239501953,ZP
20130710090455.mat,0.35554680228233293,0.0721301883459091,-0.351559966802597,-0.17775523662567103,203,22,10,90.07015991210942,60.434776306152294,180.070159912109,ZP
20130710090455.mat,0.355485826730728,0.1006054058671,-0.219724982976913,-0.17392310500145,203,22,10,90.0756607055664,60.4443473815918,180.075653076172,ZP
20130710090455.mat,0.354981034994125,0.0721301883459091,-0.0878899917006493,-0.17396505177021002,203,22,10,90.0820770263672,60.453914642334006,180.082077026367,ZP
20130710090455.mat,0.353650212287903,0.0436549708247185,0.0439449995756149,-0.17006440460681901,203,22,10,90.0867080688477,60.463474273681605,180.086700439453,ZP
20130710090455.mat,0.3520961105823521,0.0816218480467796,0.17577999830245997,-0.17003250122070301,203,22,10,90.08972930908199,60.473026275634794,180.08972167968798,ZP
20130710090455.mat,0.349641799926758,0.062638521194458,0.351559996604919,-0.16996458172798198,203,22,10,90.09253692626949,60.4825782775879,180.092529296875,ZP
20130710090455.mat,0.346788883209229,0.1006054058671,0.439449995756149,-0.169858485460281,203,22,10,90.09564208984379,60.492122650146506,180.095642089844,ZP
20130710090455.mat,0.344131588935852,0.0721301883459091,0.527339994907379,-0.165805086493492,203,22,10,90.0984725952148,60.5016593933105,180.098480224609,ZP
20130710090455.mat,0.342147588729858,0.0721301883459091,0.615229964256287,-0.16561481356620802,203,22,10,90.100341796875,60.5111770629883,180.100341796875,ZP
20130710090455.mat,0.339850634336472,0.0911135077476501,0.659174978733063,-0.16538140177726698,203,22,10,90.1015853881836,60.52067565917971,180.101593017578,ZP
20130710090455.mat,0.337922543287277,0.1006054058671,0.703119993209839,-0.16510708630085,203,22,10,90.1027450561523,60.5301361083984,180.102752685547,ZP
20130710090455.mat,0.336390495300293,0.05314663052558901,0.7470649480819699,-0.164795607328415,203,22,10,90.1038360595703,60.5395622253418,180.10383605957,ZP
20130710090455.mat,0.33525106310844394,0.0721301883459091,0.7470649480819699,-0.164453029632568,203,22,10,90.1043472290039,60.5489273071289,180.104339599609,ZP
20130710090455.mat,0.33376407623291,0.1006054058671,0.791009962558746,-0.16408695280551902,203,22,10,90.1041946411133,60.5582160949707,180.104187011719,ZP
20130710090455.mat,0.332040905952454,0.129080384969711,0.834954977035522,-0.16370557248592402,203,22,10,90.1035308837891,60.5674362182617,180.10353088378898,ZP
20130710090455.mat,0.33114635944366494,0.119588725268841,0.92284494638443,-0.16331642866134602,203,22,10,90.1024017333984,60.576541900634794,180.102401733398,ZP
20130710090455.mat,0.33068853616714505,0.119588725268841,0.9667899608612059,-0.166831508278847,203,22,10,90.1006927490234,60.5855598449707,180.100692749023,ZP
20130710090455.mat,0.329499065876007,0.0816218480467796,1.0546799898147599,-0.16644193232059498,203,22,10,90.0986328125,60.594444274902294,180.0986328125,ZP
20130710090455.mat,0.327218264341354,0.0341633073985577,1.0986249446868899,-0.166054546833038,203,22,10,90.0976181030273,60.603206634521506,180.097625732422,ZP
20130710090455.mat,0.32452094554901095,0.0721301883459091,1.1425698995590199,-0.165667787194252,203,22,10,90.09595489501949,60.611843109130895,180.095947265625,ZP
20130710090455.mat,0.321376502513885,0.129080384969711,1.18651497364044,-0.165280714631081,203,22,10,90.0928573608398,60.6203422546387,180.092864990234,ZP
20130710090455.mat,0.318552672863007,0.0911135077476501,1.18651497364044,-0.168802827596664,203,22,10,90.08983612060551,60.628692626953104,180.08984375,ZP
