DaqName,CFS.Accelerator.Pedal.Position,CFS.Brake.Pedal.Force,CFS.Steering.Wheel.Angle,SCC.Lane.Deviation.2,SCC.LogStreams.2,SCC.LogStreams.5,SCC.MenuSearch,VDS.Veh.Heading,VDS.Veh.Speed,VDS.Veh.Heading.Fixed,DosingLevel
20130130090343.mat,0.327864170074463,0.0652015060186386,2.1972498893737797,0.17569971084594702,203,22,1,89.6066741943359,64.9879913330078,179.60667419433602,YP
20130130090343.mat,0.319496750831604,-0.0202239155769348,2.02146983146667,0.18371176719665502,203,22,1,89.5977630615234,64.9977188110352,179.597763061523,YP
20130130090343.mat,0.312207400798798,-0.0107322530820966,1.84568989276886,0.191673368215561,203,22,1,89.5911026000977,65.0073699951172,179.591094970703,YP
20130130090343.mat,0.306131720542908,-0.0297155771404505,1.6699099540710403,0.19958277046680498,203,22,1,89.5847320556641,65.0169296264648,179.58473205566398,YP
20130130090343.mat,0.30152201652526894,-0.0107322530820966,1.4941298961639398,0.20743820071220398,203,22,1,89.57778930664058,65.0262985229492,179.577789306641,YP
20130130090343.mat,0.29861146211624107,-0.0107322530820966,1.2744048833847,0.21621012687683103,203,22,1,89.5720062255859,65.0354537963867,179.57200622558602,YP
20130130090343.mat,0.296941578388214,-0.0012403599685058,1.0546799898147599,0.225895941257477,203,22,1,89.5681838989258,65.0443496704102,179.568176269531,YP
20130130090343.mat,0.29634201526641807,0.0177429635077715,0.834954977035522,0.23454290628433203,203,22,1,89.5655899047852,65.0529098510742,179.565582275391,YP
20130130090343.mat,0.296149104833603,-0.0012403599685058,0.615229964256287,0.24410489201545701,203,22,1,89.5634536743164,65.06112670898439,179.563446044922,YP
20130130090343.mat,0.295946776866913,0.008251301944255829,0.395504981279373,0.253606051206589,203,22,1,89.5621719360352,65.06894683837889,179.562164306641,YP
20130130090343.mat,0.296130865812302,0.0557098425924778,0.17577999830245997,0.264023929834366,203,22,1,89.5636367797852,65.0763473510742,179.563629150391,YP
20130130090343.mat,0.29614922404289196,0.04621817916631701,-0.0439449958503246,0.273406952619553,203,22,1,89.5661239624023,65.0833282470703,179.566131591797,YP
20130130090343.mat,0.29639503359794606,0.0177429635077715,-0.263669967651367,0.283709526062012,203,22,1,89.5682754516602,65.08987426757811,179.568267822266,YP
20130130090343.mat,0.296412527561188,-0.0012403599685058,-0.48339498043060297,0.29395109415054305,203,22,1,89.5711822509766,65.0959854125977,179.571182250977,YP
20130130090343.mat,0.29665467143058805,0.0177429635077715,-0.615229964256287,0.30510738492011996,203,22,1,89.5757064819336,65.1016998291016,179.575714111328,YP
20130130090343.mat,0.296828925609589,0.008251301944255829,-0.7470649480819699,0.31522774696350103,203,22,1,89.5815963745117,65.1070022583008,179.581604003906,YP
20130130090343.mat,0.29679307341575606,0.0557098425924778,-0.834954977035522,0.32627037167549106,203,22,1,89.5879440307617,65.1119232177734,179.587951660156,YP
20130130090343.mat,0.296862363815308,0.0557098425924778,-0.92284494638443,0.337265700101852,203,22,1,89.5945663452148,65.11647796630861,179.594573974609,YP
20130130090343.mat,0.29669314622879,0.0177429635077715,-0.9667899608612059,0.348221957683563,203,22,1,89.6016464233398,65.12069702148439,179.601654052734,YP
20130130090343.mat,0.29660636186599704,0.0272346250712872,-1.0107349157333398,0.3601251840591429,203,22,1,89.609619140625,65.1245956420898,179.609619140625,YP
20130130090343.mat,0.296407580375671,0.0367265194654465,-1.0107349157333398,0.371032744646072,203,22,1,89.61978149414058,65.12819671630861,179.619781494141,YP
20130130090343.mat,0.296091258525848,-0.0202239155769348,-1.0546798706054699,0.38193246722221397,203,22,1,89.6298141479492,65.1315155029297,179.629821777344,YP
