DaqName,CFS.Accelerator.Pedal.Position,CFS.Brake.Pedal.Force,CFS.Steering.Wheel.Angle,SCC.Lane.Deviation.2,SCC.LogStreams.2,SCC.LogStreams.5,SCC.MenuSearch,VDS.Veh.Heading,VDS.Veh.Speed,VDS.Veh.Heading.Fixed,DosingLevel
20130206091325.mat,0.354889541864395,0.0962436348199844,0.791009962558746,4.20618581771851,203,22,16,180.52136230468798,57.02522277832029,270.521362304688,ZP
20130206091325.mat,0.3550519049167629,0.0108179869130254,0.791009962558746,4.19437456130981,203,22,16,180.52136230468798,57.02522277832029,270.521362304688,ZP
20130206091325.mat,0.35505387187004106,-0.017656996846198997,0.791009962558746,4.19044637680054,203,22,16,180.51609802246102,57.0540618896484,270.51611328125,ZP
20130206091325.mat,0.355002194643021,0.0108179869130254,0.791009962558746,4.19044637680054,203,22,16,180.514205932617,57.0647773742676,270.51422119140597,ZP
20130206091325.mat,0.354856610298157,-0.017656996846198997,0.791009962558746,4.15509176254272,203,22,16,180.51219177246102,57.0749168395996,270.51220703125,ZP
20130206091325.mat,0.3549908399581911,-0.00816533621400595,0.791009962558746,4.14331674575806,203,22,16,180.51008605957,57.084590911865206,270.51007080078097,ZP
20130206091325.mat,0.35500922799110396,-0.017656996846198997,0.791009962558746,4.13154888153076,203,22,16,180.50804138183602,57.093929290771506,270.508056640625,ZP
20130206091325.mat,0.355023622512817,-0.0271488912403584,0.791009962558746,4.11978673934937,203,22,16,180.506072998047,57.1030502319336,270.506072998047,ZP
20130206091325.mat,0.354921907186508,-0.00816533621400595,0.791009962558746,4.10607671737671,203,22,16,180.504043579102,57.112125396728494,270.504028320312,ZP
20130206091325.mat,0.354757070541382,0.0108179869130254,0.791009962558746,4.094323635101319,203,22,16,180.501953125,57.121311187744105,270.501953125,ZP
20130206091325.mat,0.354599148035049,0.0298015419393778,0.791009962558746,4.08257389068604,203,22,16,180.49983215332,57.13066101074221,270.49981689453097,ZP
20130206091325.mat,0.354815363883972,-0.0271488912403584,0.791009962558746,4.07082653045654,203,22,16,180.497650146484,57.1401901245117,270.497650146484,ZP
20130206091325.mat,0.354871481657028,-0.0651157721877098,0.791009962558746,4.05908060073853,203,22,16,180.495498657227,57.1499137878418,270.495483398438,ZP
