DaqName,CFS.Accelerator.Pedal.Position,CFS.Brake.Pedal.Force,CFS.Steering.Wheel.Angle,SCC.Lane.Deviation.2,SCC.LogStreams.2,SCC.LogStreams.5,SCC.MenuSearch,VDS.Veh.Heading,VDS.Veh.Speed,VDS.Veh.Heading.Fixed,DosingLevel
20130307090256.mat,0.42493584752082797,-0.022883053869009,0.7470649480819699,-1.40595698356628,203,22,1,89.8900375366211,65.6523513793945,179.890045166016,YP
20130307090256.mat,0.42484974861145003,0.00559216272085905,0.7470649480819699,-1.40206265449524,203,22,1,89.89022827148442,65.6667938232422,179.890228271484,YP
20130307090256.mat,0.424893110990524,-0.00389949907548726,0.7470649480819699,-1.39819359779358,203,22,1,89.8901138305664,65.68115234375,179.890106201172,YP
20130307090256.mat,0.42479133605957003,-0.00389949907548726,0.7470649480819699,-1.3943487405776998,203,22,1,89.8908843994141,65.6954345703125,179.89088439941398,YP
20130307090256.mat,0.42478644847869895,0.0815259218215942,0.7470649480819699,-1.3905237913131698,203,22,1,89.8924789428711,65.7096405029297,179.892486572266,YP
20130307090256.mat,0.42497006058692893,0.00559216272085905,0.7470649480819699,-1.38573694229126,203,22,1,89.89391326904301,65.72377777099611,179.89392089843798,YP
20130307090256.mat,0.42502701282501204,-0.0133913923054934,0.7470649480819699,-1.3819363117218,203,22,1,89.8949813842773,65.7378463745117,179.894989013672,YP
20130307090256.mat,0.42486450076103205,-0.0323747135698795,0.7470649480819699,-1.37814128398895,203,22,1,89.89608764648442,65.75185394287111,179.896087646484,YP
20130307090256.mat,0.42488825321197493,-0.0608499348163605,0.7470649480819699,-1.3743481636047399,203,22,1,89.8974075317383,65.7658004760742,179.897399902344,YP
20130307090256.mat,0.42487251758575395,0.00559216272085905,0.703119993209839,-1.3705544471740703,203,22,1,89.89891815185551,65.77968597412111,179.89892578125,YP
20130307090256.mat,0.424823433160782,0.0150838242843747,0.703119993209839,-1.36675822734833,203,22,1,89.9004440307617,65.79351806640621,179.900451660156,YP
20130307090256.mat,0.424966841936111,-0.022883053869009,0.703119993209839,-1.3619817495346103,203,22,1,89.9019622802734,65.8072967529297,179.901962280273,YP
20130307090256.mat,0.424900412559509,-0.0133913923054934,0.659174978733063,-1.35817778110504,203,22,1,89.9035186767578,65.8210296630859,179.903518676758,YP
20130307090256.mat,0.42490008473396296,0.00559216272085905,0.659174978733063,-1.3543701171875,203,22,1,89.9065093994141,65.8347091674805,179.90650939941398,YP
20130307090256.mat,0.424814790487289,-0.00389949907548726,0.5712849497795099,-1.3505598306655902,203,22,1,89.9092254638672,65.84835815429689,179.909225463867,YP
20130307090256.mat,0.42476606369018605,-0.00389949907548726,0.527339994907379,-1.34675109386444,203,22,1,89.91098022460942,65.86196899414061,179.910980224609,YP
20130307090256.mat,0.424743682146072,-0.022883053869009,0.439449995756149,-1.3419736623764,203,22,1,89.91321563720699,65.8755264282227,179.91320800781202,YP
20130307090256.mat,0.424910753965378,-0.022883053869009,0.351559996604919,-1.33818364143372,203,22,1,89.9166412353516,65.8890533447266,179.916641235352,YP
20130307090256.mat,0.424775689840317,-0.0323747135698795,0.26366999745368996,-1.33440637588501,203,22,1,89.92044067382808,65.90255737304689,179.920440673828,YP
20130307090256.mat,0.42478847503662104,0.024575486779212997,0.17577999830245997,-1.33064460754395,203,22,1,89.92410278320308,65.916015625,179.924102783203,YP
20130307090256.mat,0.42472898960113503,0.00559216272085905,0.13183499872684498,-1.3269004821777302,203,22,1,89.9277877807617,65.9294509887695,179.927795410156,YP
20130307090256.mat,0.42462357878685,-0.0133913923054934,0.0439449995756149,-1.3231760263443,203,22,1,89.9317855834961,65.9428558349609,179.931793212891,YP
20130307090256.mat,0.424653053283691,-0.0323747135698795,0.0,-1.3194718360900901,203,22,1,89.9361190795898,65.9562301635742,179.936126708984,YP
20130307090256.mat,0.42473888397216797,-0.0323747135698795,0.0,-1.3157871961593601,203,22,1,89.9404983520508,65.96958160400389,179.940490722656,YP
20130307090256.mat,0.424633711576462,0.0150838242843747,0.0,-1.3121200799942,203,22,1,89.9448471069336,65.98291015625,179.944854736328,YP
20130307090256.mat,0.42437985539436296,-0.0133913923054934,0.0,-1.30846679210663,203,22,1,89.9492950439453,65.996208190918,179.949295043945,YP
